time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
0.83,333.44511,499.6827,381.78594,-3.8159792,5.386034,-4.6779404,8.1332273,-32.465218,21.659702,55.583115,109.19625,537.84471,128.04575,558.48689,1104.4415,673.21146,512.78046,190.9932,309.07252,694.0455
0.84,333.58096,499.61019,381.79958,-3.7860281,5.3978906,-4.6996326,8.0940905,-32.48354,21.664541,55.590096,109.0911,537.8765,128.10313,558.49416,1104.4459,673.24537,512.77052,190.94756,308.99639,694.09525
0.85,333.72302,499.49439,381.8173,-3.8307223,5.4002266,-4.7064018,8.1463385,-32.489182,21.670258,55.57481,109.0667,537.86543,128.11602,558.50952,1104.4514,673.23789,512.7639,190.92089,308.91252,694.11822
0.86,333.89412,499.40923,381.82459,-3.9046383,5.4279966,-4.6992183,8.202754,-32.491352,21.64941,55.566528,109.05375,537.8177,128.14407,558.46046,1104.4374,673.22423,512.77634,190.87021,308.844,694.19378
0.87,334.02614,499.26709,381.79072,-3.9735711,5.4282212,-4.703073,8.2657919,-32.491207,21.650028,55.575222,108.99203,537.84773,128.20361,558.48397,1104.4397,673.22356,512.75147,190.86269,308.7771,694.27691
0.88,334.17512,499.13066,381.7811,-3.9481862,5.430367,-4.7069368,8.2099323,-32.475552,21.629997,55.564594,109.01368,537.81263,128.15831,558.49987,1104.4391,673.24332,512.77726,190.80474,308.71786,694.2885
0.89,334.34112,498.97618,381.77708,-3.944711,5.4368935,-4.7108121,8.1879311,-32.489952,21.595118,55.556301,109.03176,537.76616,128.15664,558.46253,1104.4374,673.22686,512.78221,190.7532,308.69705,694.36233
0.9,334.50315,498.80178,381.77909,-3.9839525,5.4616432,-4.7012525,8.1907539,-32.496601,21.575735,55.575645,108.98156,537.74831,128.14174,558.4614,1104.4429,673.22357,512.77359,190.7583,308.58604,694.47419
0.91,334.67816,498.59351,381.78781,-4.0802069,5.4431076,-4.7210822,8.2781935,-32.469559,21.568085,55.588951,108.98857,537.75979,128.1475,558.47992,1104.4321,673.20267,512.76832,190.69292,308.54078,694.52147
0.92,334.87441,498.41628,381.78176,-4.0681791,5.4382396,-4.7445917,8.2014112,-32.482319,21.561909,55.687511,108.98789,537.71387,128.13118,558.46355,1104.4314,673.2175,512.77014,190.63534,308.47217,694.59533
0.93,335.06724,498.22139,381.79773,-4.1193233,5.446425,-4.7391348,8.2009459,-32.511246,21.536186,55.768021,108.99904,537.7078,128.12404,558.4531,1104.4355,673.22186,512.77156,190.59158,308.39166,694.66524
0.94,335.25329,497.97672,381.7895,-4.1659369,5.4209733,-4.7404261,8.1742249,-32.518501,21.497295,55.877544,108.96706,537.70599,128.16525,558.43309,1104.4223,673.22656,512.77402,190.53873,308.31503,694.70929
0.95,335.44549,497.73275,381.77787,-4.1735759,5.4492569,-4.7376537,8.0856438,-32.570656,21.481661,56.003128,108.96403,537.6634,128.15591,558.37189,1104.437,673.21282,512.77751,190.52525,308.13615,694.80891
0.96,335.63607,497.50507,381.80472,-4.2326627,5.4829659,-4.7416439,8.0851059,-32.616653,21.473686,56.08989,108.9911,537.65153,128.17931,558.3515,1104.43,673.23223,512.76538,190.45449,308.06954,694.86573
0.97,335.82145,497.2633,381.78669,-4.2609296,5.4751515,-4.7322526,8.0320377,-32.618816,21.430559,56.182819,108.90966,537.62829,128.20638,558.34396,1104.4454,673.22732,512.7746,190.41695,307.99033,694.91656
0.98,335.99639,496.99309,381.78457,-4.2756124,5.5198708,-4.7267823,7.9742093,-32.67939,21.397854,56.274593,108.95425,537.59559,128.1741,558.34013,1104.4238,673.21325,512.76729,190.3755,307.90822,694.98375
0.99,336.21686,496.73534,381.75947,-4.2804093,5.5466909,-4.7493749,7.9239621,-32.717861,21.378082,56.369614,108.89928,537.55435,128.14913,558.30632,1104.4466,673.24991,512.76825,190.31169,307.85809,694.98971
1,336.42341,496.51364,381.74112,-4.3203073,5.5343647,-4.7251773,7.8675594,-32.715157,21.297085,56.404148,109.02702,537.53921,128.13822,558.31933,1104.4407,673.24575,512.75464,190.27197,307.79213,695.04383
1.01,336.65923,496.33942,381.72176,-4.3111,5.4955392,-4.7091422,7.7910066,-32.710106,21.233465,56.476898,109.02112,537.56506,128.14179,558.33786,1104.4494,673.20854,512.7788,190.24258,307.71626,695.04042
1.02,336.89566,496.15211,381.71912,-4.3525004,5.4981527,-4.7194281,7.7754312,-32.71109,21.173702,56.536819,109.09147,537.49497,128.06391,558.31205,1104.4356,673.21207,512.79528,190.23973,307.65642,695.1027
1.03,337.14389,496.01346,381.70334,-4.4275265,5.4821148,-4.7273269,7.7871132,-32.72757,21.165253,56.619251,109.04971,537.54557,128.09133,558.34074,1104.4418,673.22697,512.76687,190.22738,307.62809,695.12817
1.04,337.39466,495.87563,381.69601,-4.4694891,5.4766407,-4.7183952,7.7604618,-32.724289,21.121653,56.667049,109.0781,537.54401,128.0745,558.3418,1104.439,673.22093,512.77272,190.22851,307.60505,695.14257
1.05,337.66186,495.76383,381.68648,-4.5598292,5.4836164,-4.7239623,7.8131337,-32.732471,21.102543,56.712994,109.08027,537.57926,128.03857,558.35923,1104.44,673.21218,512.7521,190.22516,307.58138,695.13758
1.06,337.94692,495.65691,381.68124,-4.5525432,5.4962182,-4.7307696,7.7284164,-32.754326,21.070206,56.776287,109.0984,537.61676,128.04206,558.36926,1104.4501,673.21613,512.75884,190.24624,307.56331,695.16237
